contract,time_completed,side,quantity,avg_price,realized_pnl,epoch_sec,profit,loss,wr,profit_long,loss_long,wr_long,profit_short,loss_short,wr_short,realized_pnl_sum,px_side,px_side_sum,total_profit,avg_pnl_profit,total_loss,avg_pnl_loss,avg_pnl_rr,avg_pnl_ewr,total_px_profit,avg_px_profit,total_px_loss,avg_px_loss,avg_px_rr,avg_px_ewr
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 09:51:48.000,SLD,2,13952.0,-161.28,1650293508.0,1,8,0.1111111111111111,0,4,0.0,1,4,0.2,-1654.74,-40.32,-491.13,18.36,18.36,-1673.0999999999997,-209.13749999999996,0.08778913394298012,0.9192958164375432,0.0,9.18,-500.30999999999995,-62.53874999999999,0.14678899082568808,0.872
"542601616,MNQ,FOP,20220429,13050,P,2,GLOBEX,,USD,MQEJ2 P1305,MQE,False,,combo:",2022-04-18 09:52:20.000,SLD,1,59.75,-132.44,1650293540.0,0,1,0.0,0,1,0.0,0,0,,-132.44,-66.22,-66.22,,,-132.44,-132.44,,,0.0,,-66.22,-66.22,,
"542600780,MNQ,FOP,20220429,14700,C,2,GLOBEX,,USD,MQEJ2 C1470,MQE,False,,combo:",2022-04-18 09:53:49.000,BOT,1,39.5,,1650293629.0,0,0,,0,0,,0,0,,,,,,,,,,,0.0,,0.0,,,
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 09:54:43.000,SLD,1,13943.0,,1650293683.0,1,8,0.1111111111111111,0,4,0.0,1,4,0.2,,,,18.36,18.36,-1673.0999999999997,-209.13749999999996,0.08778913394298012,0.9192958164375432,0.0,9.18,0.0,-62.53874999999999,0.14678899082568808,0.872
"542600780,MNQ,FOP,20220429,14700,C,2,GLOBEX,,USD,MQEJ2 C1470,MQE,False,,combo:",2022-04-18 09:56:07.000,BOT,1,38.0,,1650293767.0,0,0,,0,0,,0,0,,,,,,,,,,,0.0,,0.0,,,
"542600801,MNQ,FOP,20220429,14650,C,2,GLOBEX,,USD,MQEJ2 C1465,MQE,False,,combo:",2022-04-18 09:57:17.000,BOT,1,41.0,,1650293837.0,0,0,,0,0,,0,0,,,,,,,,,,,0.0,,0.0,,,
"542600801,MNQ,FOP,20220429,14650,C,2,GLOBEX,,USD,MQEJ2 C1465,MQE,False,,combo:",2022-04-18 10:01:13.000,BOT,1,41.0,,1650294073.0,0,0,,0,0,,0,0,,,,,,,,,,,0.0,,0.0,,,
"542601827,MNQ,FOP,20220429,14200,C,2,GLOBEX,,USD,MQEJ2 C1420,MQE,False,,combo:",2022-04-18 10:10:11.000,BOT,1,155.0,,1650294611.0,0,0,,0,0,,0,0,,,,,,,,,,,0.0,,0.0,,,
"542601827,MNQ,FOP,20220429,14200,C,2,GLOBEX,,USD,MQEJ2 C1420,MQE,False,,combo:",2022-04-18 10:15:01.000,BOT,1,152.0,,1650294901.0,0,0,,0,0,,0,0,,,,,,,,,,,0.0,,0.0,,,
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 10:22:22.000,SLD,1,13890.0,,1650295342.0,1,8,0.1111111111111111,0,4,0.0,1,4,0.2,,,,18.36,18.36,-1673.0999999999997,-209.13749999999996,0.08778913394298012,0.9192958164375432,0.0,9.18,0.0,-62.53874999999999,0.14678899082568808,0.872
"542601827,MNQ,FOP,20220429,14200,C,2,GLOBEX,,USD,MQEJ2 C1420,MQE,False,,combo:",2022-04-18 11:11:31.000,SLD,1,120.0,-67.94,1650298291.0,0,1,0.0,0,1,0.0,0,0,,-67.94,-33.97,-33.97,,,-67.94,-67.94,,,0.0,,-33.97,-33.97,,
"542600780,MNQ,FOP,20220429,14700,C,2,GLOBEX,,USD,MQEJ2 C1470,MQE,False,,combo:",2022-04-18 11:15:07.000,SLD,1,24.0,-30.44,1650298507.0,0,1,0.0,0,1,0.0,0,0,,-30.44,-15.22,-15.22,,,-30.44,-30.44,,,0.0,,-15.22,-15.22,,
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 11:56:17.000,BOT,1,13818.0,195.86,1650300977.0,2,8,0.2,0,4,0.0,2,4,0.3333333333333333,-1458.88,97.93,-393.2,214.22000000000003,107.11000000000001,-1673.0999999999997,-209.13749999999996,0.5121510967664815,0.6613095755697673,107.11000000000001,53.55500000000001,0.0,-62.53874999999999,0.8563490635805803,0.5386917900403768
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 11:58:31.000,BOT,1,13823.0,185.86,1650301111.0,3,8,0.2727272727272727,0,4,0.0,3,4,0.42857142857142855,-1273.02,92.93,-300.27,400.08000000000004,133.36,-1673.0999999999997,-209.13749999999996,0.6376666068973763,0.6106248950722267,200.04000000000002,66.68,0.0,-62.53874999999999,1.0662189442545624,0.4839758162031438
"542601827,MNQ,FOP,20220429,14200,C,2,GLOBEX,,USD,MQEJ2 C1420,MQE,False,,combo:",2022-04-18 11:59:41.000,BOT,1,120.0,,1650301181.0,0,1,0.0,0,1,0.0,0,0,,,,,,,-67.94,-67.94,,,0.0,,0.0,-33.97,,
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 12:08:08.000,SLD,2,13837.0,,1650301688.0,3,8,0.2727272727272727,0,4,0.0,3,4,0.42857142857142855,,,,400.08000000000004,133.36,-1673.0999999999997,-209.13749999999996,0.6376666068973763,0.6106248950722267,0.0,66.68,0.0,-62.53874999999999,1.0662189442545624,0.4839758162031438
"542601827,MNQ,FOP,20220429,14200,C,2,GLOBEX,,USD,MQEJ2 C1420,MQE,False,,combo:",2022-04-18 12:14:14.000,SLD,1,125.0,-24.44,1650302054.0,0,2,0.0,0,2,0.0,0,0,,-92.38,-12.22,-46.19,,,-92.38,-46.19,,,0.0,,-46.19,-23.095,,
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 12:32:05.000,BOT,2,13881.5,-180.28,1650303125.0,3,9,0.25,0,4,0.0,3,5,0.375,-1453.3,-45.07,-345.34,400.08000000000004,133.36,-1853.3799999999997,-205.93111111111108,0.6475952044372985,0.6069451994681722,0.0,66.68,-545.38,-60.59777777777778,1.1003703839524737,0.4761065037101702
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 13:01:45.000,SLD,1,13972.0,,1650304905.0,3,9,0.25,0,4,0.0,3,5,0.375,,,,400.08000000000004,133.36,-1853.3799999999997,-205.93111111111108,0.6475952044372985,0.6069451994681722,0.0,66.68,0.0,-60.59777777777778,1.1003703839524737,0.4761065037101702
"542601827,MNQ,FOP,20220429,14200,C,2,GLOBEX,,USD,MQEJ2 C1420,MQE,False,,combo:",2022-04-18 13:02:40.000,SLD,1,165.0,55.56,1650304960.0,1,2,0.3333333333333333,1,2,0.3333333333333333,0,0,,-36.81999999999999,27.78,-18.409999999999997,55.56,55.56,-92.38,-46.19,1.202857761420221,0.4539557739557739,27.78,27.78,0.0,-23.095,1.202857761420221,0.4539557739557739
"542600801,MNQ,FOP,20220429,14650,C,2,GLOBEX,,USD,MQEJ2 C1465,MQE,False,,combo:",2022-04-18 13:03:34.000,SLD,2,41.0,-1.88,1650305014.0,0,1,0.0,0,1,0.0,0,0,,-1.88,-0.47,-0.47,,,-1.88,-1.88,,,0.0,,-0.47,-0.47,,
"542601827,MNQ,FOP,20220429,14200,C,2,GLOBEX,,USD,MQEJ2 C1420,MQE,False,,combo:",2022-04-18 13:12:56.000,BOT,1,170.0,,1650305576.0,1,2,0.3333333333333333,1,2,0.3333333333333333,0,0,,,,,55.56,55.56,-92.38,-46.19,1.202857761420221,0.4539557739557739,0.0,27.78,0.0,-23.095,1.202857761420221,0.4539557739557739
"542600780,MNQ,FOP,20220429,14700,C,2,GLOBEX,,USD,MQEJ2 C1470,MQE,False,,combo:",2022-04-18 13:14:28.000,BOT,3,36.0,,1650305668.0,0,1,0.0,0,1,0.0,0,0,,,,,,,-30.44,-30.44,,,0.0,,0.0,-15.22,,
"542600797,MNQ,FOP,20220429,14600,C,2,GLOBEX,,USD,MQEJ2 C1460,MQE,False,,combo:",2022-04-18 13:15:31.000,BOT,1,50.0,,1650305731.0,0,0,,0,0,,0,0,,,,,,,,,,,0.0,,0.0,,,
"542600797,MNQ,FOP,20220429,14600,C,2,GLOBEX,,USD,MQEJ2 C1460,MQE,False,,combo:",2022-04-18 13:16:43.000,BOT,1,47.0,,1650305803.0,0,0,,0,0,,0,0,,,,,,,,,,,0.0,,0.0,,,
"542600780,MNQ,FOP,20220429,14700,C,2,GLOBEX,,USD,MQEJ2 C1470,MQE,False,,combo:",2022-04-18 13:18:13.000,SLD,1,31.0,-12.315,1650305893.0,0,2,0.0,0,2,0.0,0,0,,-42.755,-6.1575,-21.3775,,,-42.755,-21.3775,,,0.0,,-21.3775,-10.68875,,
"542600797,MNQ,FOP,20220429,14600,C,2,GLOBEX,,USD,MQEJ2 C1460,MQE,False,,combo:",2022-04-18 13:18:23.000,SLD,2,44.0,-19.88,1650305903.0,0,1,0.0,0,1,0.0,0,0,,-19.88,-4.97,-4.97,,,-19.88,-19.88,,,0.0,,-4.97,-4.97,,
"542600780,MNQ,FOP,20220429,14700,C,2,GLOBEX,,USD,MQEJ2 C1470,MQE,False,,combo:",2022-04-18 13:18:44.999,SLD,2,31.0,-36.945,1650305924.999,0,3,0.0,0,3,0.0,0,0,,-79.7,-9.23625,-30.613750000000003,,,-79.7,-26.566666666666666,,,0.0,,-30.613750000000003,-10.204583333333334,,
"542600780,MNQ,FOP,20220429,14700,C,2,GLOBEX,,USD,MQEJ2 C1470,MQE,False,,combo:",2022-04-18 13:18:45.000,SLD,1,31.0,,1650305925.0,0,3,0.0,0,3,0.0,0,0,,,,,,,-79.7,-26.566666666666666,,,0.0,,0.0,-10.204583333333334,,
"547809685,MNQ,FOP,20220531,14550,C,2,GLOBEX,,USD,MQEK2 C1455,MQE,False,,combo:",2022-04-18 13:40:01.000,BOT,1,219.0,,1650307201.0,0,0,,0,0,,0,0,,,,,,,,,,,0.0,,0.0,,,
