date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,amplitude_hl,amplitude_hl_ema10,amplitude_oc_ema10,local_min,local_max,price_times_volume,vwap
2022-02-24 18:48:00,13915.0,13918.0,13914.25,13915.75,1645750080,174,2022-02-24 18:48:00,2022-02-25,13889.563593633933,3.75,5.267028052684185,2.9235566290621917,,,2421340.5,13884.458830848267
2022-02-24 18:49:00,13915.25,13916.0,13913.25,13915.25,1645750140,140,2022-02-24 18:49:00,2022-02-25,13889.988162334199,2.75,4.8093865885597875,2.3920008783236115,,,1948135.0,13884.54509615577
2022-02-24 18:50:00,13915.25,13916.25,13909.5,13909.75,1645750200,246,2022-02-24 18:50:00,2022-02-25,13890.314804279089,6.75,5.1622253906398265,2.9570916277193184,,,3421798.5,13884.668568413088
2022-02-24 18:51:00,13909.75,13909.75,13884.75,13886.5,1645750260,1457,2022-02-24 18:51:00,2022-02-25,13890.251749662906,25.0,8.769093501432586,6.6467113317703514,,,20232630.5,13884.720207454426
2022-02-24 18:52:00,13887.0,13887.75,13867.0,13876.5,1645750320,1950,2022-02-24 18:52:00,2022-02-25,13890.024448015585,20.75,10.947440137535752,7.347309271448469,,,27059175.0,13884.421285245413
2022-02-24 18:53:00,13876.5,13878.5,13866.0,13867.75,1645750380,981,2022-02-24 18:53:00,2022-02-25,13889.656275321113,12.5,11.229723748892887,7.602343949366929,,,13604262.75,13884.121779141104
2022-02-24 18:54:00,13867.5,13870.75,13861.25,13863.5,1645750440,1155,2022-02-24 18:54:00,2022-02-25,13889.223940191838,9.5,10.915228521821453,6.947372322209306,,,16012342.5,13883.69462428264
2022-02-24 18:55:00,13863.25,13871.0,13861.25,13868.0,1645750500,940,2022-02-24 18:55:00,2022-02-25,13888.873131263046,9.75,10.70336879058119,6.547850081807614,,,13035920.0,13883.43443121693
2022-02-24 18:56:00,13868.5,13884.0,13868.5,13876.5,1645750560,1136,2022-02-24 18:56:00,2022-02-25,13888.668616696716,15.5,11.575483555930063,6.811877339660775,,,15763704.0,13883.298226882911
2022-02-24 18:57:00,13876.25,13878.75,13868.25,13876.75,1645750620,672,2022-02-24 18:57:00,2022-02-25,13888.471614767845,10.5,11.379941091215507,5.66426327790427,,,9325176.0,13883.223016510563
2022-02-24 18:58:00,13876.5,13878.0,13869.5,13872.0,1645750680,667,2022-02-24 18:58:00,2022-02-25,13888.199356672509,8.5,10.856315438267233,5.452579045558039,,,9252624.0,13883.096514575413
2022-02-24 18:59:00,13872.0,13875.25,13869.25,13871.5,1645750740,479,2022-02-24 18:59:00,2022-02-25,13887.92333424817,6.0,9.973348994945917,4.55211012818385,,,6644448.5,13883.00339876622
2022-02-24 19:00:00,13872.25,13878.0,13866.0,13867.75,1645750800,884,2022-02-24 19:00:00,2022-02-25,13887.589890706877,12.0,10.341830995864841,4.54263555942315,,,12259091.0,13882.780662559055
2022-02-24 19:01:00,13867.25,13868.25,13858.75,13861.0,1645750860,819,2022-02-24 19:01:00,2022-02-25,13887.150388381144,9.5,10.188770814798506,4.85306545770985,,,11352159.0,13882.489931874114
2022-02-24 19:02:00,13861.5,13863.5,13857.0,13861.75,1645750920,857,2022-02-24 19:02:00,2022-02-25,13886.730547250876,6.5,9.518085212107868,4.016144465398969,13857.0,,11879519.75,13882.204238595814
2022-02-24 19:03:00,13861.25,13864.25,13857.25,13860.5,1645750980,558,2022-02-24 19:03:00,2022-02-25,13886.296984486398,7.0,9.060251537179164,3.422300017144611,,,7734159.0,13882.01130281017
2022-02-24 19:04:00,13860.5,13872.25,13859.0,13864.0,1645751040,793,2022-02-24 19:04:00,2022-02-25,13885.928439288276,13.25,9.82202398496477,3.436427286754682,,,10994152.0,13881.786604263352
2022-02-24 19:05:00,13863.25,13870.75,13862.25,13867.0,1645751100,494,2022-02-24 19:05:00,2022-02-25,13885.61557252318,8.5,9.581655987698449,3.4934405073447397,,,6850298.0,13881.672575282162
2022-02-24 19:06:00,13866.75,13878.75,13865.25,13874.5,1645751160,684,2022-02-24 19:06:00,2022-02-25,13885.431844051722,13.5,10.294082171753276,4.267360415100241,,,9490158.0,13881.596798109447
