date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,amplitude_hl,amplitude_oc,local_min,local_max,price_times_volume,vwap
2022-02-23 02:55:00,14006.5,14018.25,13993.5,14015.5,1645606500,3018,2022-02-23 02:55:00,2022-02-23,13952.828358884086,18.11992675779257,6.0303522212853995,,,42298779.0,13962.814027647342
2022-02-23 03:00:00,14016.0,14026.25,14016.0,14022.75,1645606800,2866,2022-02-23 03:00:00,2022-02-23,13953.984088489307,16.689030983648465,6.1611972719607815,,,40189201.5,13963.655594885236
2022-02-23 03:05:00,14022.5,14032.0,14020.0,14023.0,1645607100,2583,2022-02-23 03:05:00,2022-02-23,13955.124847357252,15.83647989571238,5.1318886770588215,,,36221409.0,13964.397191796728
2022-02-23 03:10:00,14023.25,14048.75,14023.0,14044.75,1645607400,3920,2022-02-23 03:10:00,2022-02-23,13956.606254838951,17.638938096491948,8.107908917593582,,,55055420.0,13965.892709787388
2022-02-23 03:15:00,14045.25,14053.5,14041.25,14049.0,1645607700,2974,2022-02-23 03:15:00,2022-02-23,13958.133424180456,16.659131169857048,7.315561841667476,,,41781726.0,13967.049874293045
2022-02-23 03:20:00,14048.75,14051.5,14037.5,14044.0,1645608000,2063,2022-02-23 03:20:00,2022-02-23,13959.552706425407,16.175652775337586,6.8490960522733895,,,28972772.0,13967.785994992
2022-02-23 03:25:00,14044.25,14050.25,14042.25,14046.5,1645608300,1760,2022-02-23 03:25:00,2022-02-23,13960.989851773747,14.689170452548934,6.0128967700418645,,,24721840.0,13968.42319412184
2022-02-23 03:30:00,14046.5,14062.0,14043.75,14057.25,1645608600,3183,2022-02-23 03:30:00,2022-02-23,13962.580928603933,15.336594006630946,6.874188266397889,,,44744226.75,13969.704872664304
2022-02-23 03:35:00,14057.25,14065.5,14051.75,14056.25,1645608900,2751,2022-02-23 03:35:00,2022-02-23,13964.129177717918,15.048122369061684,5.806154036143727,,,38668743.75,13970.770853014788
2022-02-23 03:40:00,14056.5,14069.0,14054.0,14059.75,1645609200,1879,2022-02-23 03:40:00,2022-02-23,13965.709687177126,15.039372847414105,5.3413987568448675,,14069.0,26418270.25,13971.513175537677
2022-02-23 03:45:00,14060.25,14063.75,14054.25,14061.75,1645609500,1716,2022-02-23 03:45:00,2022-02-23,13967.29713036428,14.032214147884268,4.64296261923671,,,24129963.0,13972.19548655175
2022-02-23 03:50:00,14062.25,14064.0,14042.0,14044.75,1645609800,3024,2022-02-23 03:50:00,2022-02-23,13968.577343085532,15.480902484632583,6.98060577937549,,,42471324.0,13973.149553416128
2022-02-23 03:55:00,14044.5,14051.25,14025.75,14028.5,1645610100,3925,2022-02-23 03:55:00,2022-02-23,13969.567800224613,17.30255657833575,8.620495637670855,,,55061862.5,13974.078399097023
2022-02-23 04:00:00,14028.5,14038.25,14023.25,14037.0,1645610400,2618,2022-02-23 04:00:00,2022-02-23,13970.682382039082,16.88390992772925,8.598587339912518,,,36748866.0,13974.774894190969
2022-02-23 04:05:00,14036.25,14041.25,14018.75,14020.25,1645610700,3413,2022-02-23 04:05:00,2022-02-23,13971.50168150951,17.905017213596658,9.944298732655696,,,47851113.25,13975.421792942765
2022-02-23 04:10:00,14020.25,14021.5,14001.0,14002.5,1645611000,4341,2022-02-23 04:10:00,2022-02-23,13972.014050410178,18.376832265669993,11.363517144900115,,,60784852.5,13975.903018238389
2022-02-23 04:15:00,14002.0,14017.0,13999.5,14016.0,1645611300,2836,2022-02-23 04:15:00,2022-02-23,13972.741090899266,18.21740821736636,11.842877664009185,,,39749376.0,13976.363214839277
2022-02-23 04:20:00,14016.0,14025.25,14013.25,14024.5,1645611600,2647,2022-02-23 04:20:00,2022-02-23,13973.596610057955,17.086970359663383,11.235081725098425,,,37122851.5,13976.8734013886
2022-02-23 04:25:00,14024.0,14029.5,14018.75,14020.25,1645611900,2402,2022-02-23 04:25:00,2022-02-23,13974.367740470221,15.934793930633676,9.87415777508053,,,33676640.5,13977.286610152687
2022-02-23 04:30:00,14020.25,14026.25,14016.25,14020.0,1645612200,1867,2022-02-23 04:30:00,2022-02-23,13975.121992693854,14.855740488700281,8.12431090688407,,,26175340.0,13977.60054937268
2022-02-23 04:35:00,14020.25,14026.0,14016.25,14021.0,1645612500,1893,2022-02-23 04:35:00,2022-02-23,13975.880306864203,13.92742403620932,6.7835271056324205,,,26541753.0,13977.921580829197
2022-02-23 04:40:00,14021.75,14036.25,14020.25,14022.0,1645612800,2764,2022-02-23 04:40:00,2022-02-23,13976.642615841654,14.304256029625808,5.595613086426526,,,38756808.0,13978.392570378159
2022-02-23 04:45:00,14021.75,14022.0,13983.25,13986.0,1645613100,5000,2022-02-23 04:45:00,2022-02-23,13976.797283348404,18.748936751512026,11.07822888889443,,,69930000.0,13978.536828621707
2022-02-23 04:50:00,13986.25,13994.0,13983.25,13993.25,1645613400,2073,2022-02-23 04:50:00,2022-02-23,13977.069229078183,17.294584614873475,10.33673272727726,,,29008007.25,13978.651600958807
2022-02-23 04:55:00,13992.0,14004.75,13991.25,14004.25,1645613700,2079,2022-02-23 04:55:00,2022-02-23,13977.518498019039,16.604660139441933,10.68459950413594,,,29114835.75,13978.85030859588
2022-02-23 05:00:00,14004.25,14005.0,13993.25,14001.25,1645614000,2297,2022-02-23 05:00:00,2022-02-23,13977.91075425013,15.7219946595434,9.287399594293042,,,32160871.25,13979.040785123814
2022-02-23 05:05:00,14001.25,14008.0,13990.0,14001.0,1645614300,2403,2022-02-23 05:05:00,2022-02-23,13978.292394675747,16.136177448717326,7.644236031694307,,,33644403.0,13979.234410661735
2022-02-23 05:10:00,14000.5,14010.75,13984.25,13990.25,1645614600,2701,2022-02-23 05:10:00,2022-02-23,13978.490041044743,18.02050882167781,8.118011298658978,,,37787665.25,13979.34251454254
2022-02-23 05:15:00,13990.25,13998.25,13983.75,13987.0,1645614900,1897,2022-02-23 05:15:00,2022-02-23,13978.630701523341,17.380416308645483,7.232918335266437,,,26533339.0,13979.394932412926
2022-02-23 05:20:00,13987.0,13993.75,13972.25,13989.5,1645615200,3524,2022-02-23 05:20:00,2022-02-23,13978.810359349402,18.129431525255395,6.372387728854357,,,49298998.0,13979.52181825632
2022-02-23 05:25:00,13989.5,13998.75,13988.0,13995.75,1645615500,1966,2022-02-23 05:25:00,2022-02-23,13979.090353409742,16.78771670248169,6.350135414517201,,,27515644.5,13979.634709356224
2022-02-23 05:30:00,13996.25,14008.5,13994.75,14006.25,1645615800,2212,2022-02-23 05:30:00,2022-02-23,13979.539273188093,16.235404574757744,7.013747157332255,,,30981825.0,13979.841407561107
2022-02-23 05:35:00,14006.75,14006.75,13984.75,13989.25,1645616100,2540,2022-02-23 05:35:00,2022-02-23,13979.699781069281,17.2835128338927,8.920338583271846,,,35532695.0,13979.924569190509
2022-02-23 05:40:00,13988.5,13996.75,13986.25,13988.75,1645616400,1506,2022-02-23 05:40:00,2022-02-23,13979.84937146483,16.050146864094028,7.343913386313329,,,21067057.5,13979.970579530034
2022-02-23 05:45:00,13988.25,13992.0,13974.25,13975.5,1645616700,3283,2022-02-23 05:45:00,2022-02-23,13979.777481027395,16.359211070622386,8.326838225165451,,,45881566.5,13979.920342797488
2022-02-23 05:50:00,13976.25,13987.25,13974.25,13979.0,1645617000,2492,2022-02-23 05:50:00,2022-02-23,13979.764630101323,15.748445421418316,7.312867638771733,,,34835668.0,13979.912558926444
2022-02-23 05:55:00,13978.75,13983.0,13952.0,13959.5,1645617300,7005,2022-02-23 05:55:00,2022-02-23,13979.429677537664,18.521455344796802,9.483255340813237,13952.0,,97786297.5,13979.43853596197
2022-02-23 06:00:00,13959.5,13979.0,13953.0,13976.5,1645617600,3753,2022-02-23 06:00:00,2022-02-23,13979.381253115555,19.88119073665193,10.849936187938104,,,52453804.5,13979.40242546782
2022-02-23 06:05:00,13976.75,13988.5,13976.5,13982.25,1645617900,2816,2022-02-23 06:05:00,2022-02-23,13979.42867041943,18.44824696635158,9.877220517403902,,,39374016.0,13979.428441767433
2022-02-23 06:10:00,13982.5,13998.0,13976.0,13994.5,1645618200,3149,2022-02-23 06:10:00,2022-02-23,13979.677783305058,19.094020245196745,10.263180423330466,,,44068680.5,13979.580866011498
2022-02-23 06:15:00,13994.75,14002.25,13993.75,13996.0,1645618500,2363,2022-02-23 06:15:00,2022-02-23,13979.94757201076,17.167834746070064,8.62442034636129,,,33072548.0,13979.704532994616
2022-02-23 06:20:00,13996.25,14007.0,13993.0,14005.5,1645618800,2408,2022-02-23 06:20:00,2022-02-23,13980.369926192401,16.591864792239143,8.738162101568328,,,33725244.0,13979.90101331368
2022-02-23 06:25:00,14005.75,14015.0,14004.5,14010.0,1645619100,2848,2022-02-23 06:25:00,2022-02-23,13980.859679478477,15.484253011832026,7.922132628555905,,,39900480.0,13980.169743314033
2022-02-23 06:30:00,14010.25,14024.5,14007.5,14019.0,1645619400,3652,2022-02-23 06:30:00,2022-02-23,13981.490097999495,15.759843373317112,8.072653968818468,,,51197388.0,13980.609266181298
2022-02-23 06:35:00,14018.5,14030.25,14014.25,14026.75,1645619700,2763,2022-02-23 06:35:00,2022-02-23,13982.238195553222,15.803508214532183,8.104898701760565,,,38755910.25,13981.001046391562
2022-02-23 06:40:00,14026.25,14031.5,14024.75,14027.75,1645620000,2130,2022-02-23 06:40:00,2022-02-23,13982.990456783748,14.157415811889967,6.904008028713189,,,29879107.5,13981.305061459268
2022-02-23 06:45:00,14027.25,14029.25,14013.5,14014.75,1645620300,2969,2022-02-23 06:45:00,2022-02-23,13983.515407911289,14.446976573364518,7.9214611144017,,,41609792.75,13981.605506606596
2022-02-23 06:50:00,14015.0,14033.5,14014.5,14029.25,1645620600,2951,2022-02-23 06:50:00,2022-02-23,13984.271351582176,15.27479901457097,9.072104548146847,,14033.5,41400316.75,13982.027150671456
2022-02-23 06:55:00,14029.25,14032.75,14021.75,14023.75,1645620900,2398,2022-02-23 06:55:00,2022-02-23,13984.923891225446,14.49756283010352,8.422630993938329,,,33628952.5,13982.325053892786
2022-02-23 07:00:00,14023.5,14028.5,14019.0,14021.75,1645621200,2862,2022-02-23 07:00:00,2022-02-23,13985.53258723825,13.588915042811971,7.209425358676814,,,40130248.5,13982.658179171809
2022-02-23 07:05:00,14021.25,14033.5,14019.25,14031.75,1645621500,2721,2022-02-23 07:05:00,2022-02-23,13986.296511416129,13.709112307755248,7.807711657099212,,14033.5,38180391.75,13983.049406914932
2022-02-23 07:10:00,14031.75,14032.25,14017.25,14021.25,1645621800,2252,2022-02-23 07:10:00,2022-02-23,13986.874255029086,13.943819160890657,8.297218628535719,,,31575855.0,13983.299715293275
2022-02-23 07:15:00,14021.25,14025.25,14018.0,14018.75,1645622100,2300,2022-02-23 07:15:00,2022-02-23,13987.401126846788,12.72676113163781,7.243178877892861,,,32243125.0,13983.535376329168
