date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,ema_120_trend,ema_120_trend_change,amplitude_hl,amplitude_hl_ema10,amplitude_oc_ema10,diff,diff_sma,diff_sma_trend,local_min,local_max,price_times_volume,vwap
2022-03-09 19:25:00,13745.75,13755.5,13745.0,13748.0,1646875500,1274,2022-03-09 19:25:00,2022-03-10,,,,10.5,11.680997632540654,4.2916785350811155,2.25,5.1,-0.8500000000000005,,,17514952.0,13745.039181080127
2022-03-09 19:30:00,13747.75,13751.0,13734.0,13736.0,1646875800,3724,2022-03-09 19:30:00,2022-03-10,,,,17.0,12.648088972078718,5.647736983248185,-11.75,4.95,-0.14999999999999947,,,51152864.0,13744.14676564157
2022-03-09 19:35:00,13736.5,13740.0,13702.25,13708.0,1646876100,4302,2022-03-09 19:35:00,2022-03-10,,,,37.75,17.212072795337132,9.802693895384879,-28.5,10.1,5.1499999999999995,13702.25,,58971816.0,13740.446242444434
2022-03-09 19:40:00,13708.25,13715.25,13705.5,13712.75,1646876400,1595,2022-03-09 19:40:00,2022-03-10,,,,9.75,15.855332287094017,8.838567732587627,4.5,9.5,-0.5999999999999996,,,21871836.25,13739.433437650458
2022-03-09 19:45:00,13712.25,13723.0,13711.0,13722.5,1646876700,1673,2022-03-09 19:45:00,2022-03-10,,,,12.0,15.15436278034965,9.095191781208058,10.25,11.45,1.9499999999999993,,,22957742.5,13738.807921174652
2022-03-09 19:50:00,13722.5,13723.0,13716.75,13722.0,1646877000,1034,2022-03-09 19:50:00,2022-03-10,,,,6.25,13.535387729376987,7.532429639170229,-0.5,11.1,-0.34999999999999964,,,14188548.0,13738.432750841896
2022-03-09 19:55:00,13721.5,13729.25,13714.75,13725.75,1646877300,1528,2022-03-09 19:55:00,2022-03-10,,,,14.5,13.710771778581172,6.9356242502301875,4.25,9.6,-1.5,,,20972946.0,13738.027767909387
2022-03-09 20:00:00,13725.5,13765.25,13724.25,13756.0,1646877600,4198,2022-03-09 20:00:00,2022-03-10,,,,41.0,18.67244963702096,11.22005620473379,30.5,10.0,0.40000000000000036,,13765.25,57747688.0,13739.477286263209
2022-03-09 20:05:00,13756.75,13757.0,13743.0,13745.75,1646877900,2314,2022-03-09 20:05:00,2022-03-10,,,,14.0,17.822913339380786,11.180045985691283,-11.0,11.3,1.3000000000000007,,,31807665.5,13739.744283901111
2022-03-09 20:10:00,13746.25,13750.0,13741.0,13742.0,1646878200,1208,2022-03-09 20:10:00,2022-03-10,,,,9.0,16.218747277675188,9.920037624656505,-4.25,10.1,-1.200000000000001,,,16600336.0,13739.793317677968
2022-03-09 20:15:00,13741.75,13747.25,13734.25,13745.0,1646878500,2116,2022-03-09 20:15:00,2022-03-10,,,,13.0,15.633520499916063,8.707303511082594,3.25,10.65,0.5500000000000007,,,29084420.0,13739.984299161004
2022-03-09 20:20:00,13744.75,13750.75,13739.25,13750.25,1646878800,1520,2022-03-09 20:20:00,2022-03-10,,,,11.5,14.881971318113143,8.124157418158486,5.5,10.9,0.25,,,20900380.0,13740.247842352384
2022-03-09 20:25:00,13749.75,13752.5,13743.25,13750.0,1646879100,1253,2022-03-09 20:25:00,2022-03-10,,,,9.25,13.857976533001663,6.692492433038761,0.25,4.85,-6.050000000000001,,,17228750.0,13740.44994707332
2022-03-09 20:30:00,13750.25,13751.5,13743.5,13745.5,1646879400,1169,2022-03-09 20:30:00,2022-03-10,,,,8.0,12.792889890637724,6.339311990668077,-4.75,3.6,-1.2499999999999996,,,16068489.5,13740.545736654227
2022-03-09 20:35:00,13745.5,13752.5,13744.5,13751.25,1646879700,912,2022-03-09 20:35:00,2022-03-10,,,,8.0,11.92145536506723,6.232164356001154,5.75,3.9,0.2999999999999998,,,12541140.0,13740.701828371335
2022-03-09 20:40:00,13751.5,13755.0,13740.0,13747.0,1646880000,1629,2022-03-09 20:40:00,2022-03-10,,,,15.0,12.481190753236824,5.917225382182762,-4.5,4.15,0.25000000000000044,,,22393863.0,13740.86170933911
2022-03-09 20:45:00,13746.25,13747.25,13727.5,13729.75,1646880300,1760,2022-03-09 20:45:00,2022-03-10,,,,19.75,13.802792434466493,7.841366221785896,-16.5,6.35,2.1999999999999993,,,24164360.0,13740.565086984878
2022-03-09 20:50:00,13730.0,13739.0,13728.75,13736.75,1646880600,1248,2022-03-09 20:50:00,2022-03-10,,,,10.25,13.156830173654404,7.642935999643006,6.75,7.65,1.3000000000000007,,,17143464.0,13740.494213221393
2022-03-09 20:55:00,13737.5,13738.5,13724.25,13730.5,1646880900,1396,2022-03-09 20:55:00,2022-03-10,,,,14.25,13.355588323899058,7.52603854516246,-7.0,8.1,0.4499999999999993,,,19167778.0,13740.290758293839
2022-03-09 21:00:00,13730.25,13735.0,13720.0,13725.75,1646881200,1814,2022-03-09 21:00:00,2022-03-10,,,,15.0,13.65457226500832,6.975849718769285,-4.5,7.85,-0.25,,,24898510.5,13739.91602736223
2022-03-09 21:05:00,13725.5,13730.25,13721.0,13721.0,1646881500,1026,2022-03-09 21:05:00,2022-03-10,,,,9.25,12.853740944097716,6.525695224447597,-4.5,7.85,0.0,,,14077746.0,13739.644265910523
2022-03-09 21:10:00,13721.0,13731.75,13720.5,13725.75,1646881800,1227,2022-03-09 21:10:00,2022-03-10,,,,11.25,12.562151681534495,6.202841547275307,4.75,5.5,-2.3499999999999996,,,16841495.25,13739.409577104154
2022-03-09 21:15:00,13726.0,13733.25,13723.75,13730.0,1646882100,1148,2022-03-09 21:15:00,2022-03-10,,,,9.5,12.005396830346404,5.80232490231616,4.0,4.95,-0.5499999999999998,,,15762040.0,13739.263186068572
2022-03-09 21:20:00,13730.0,13736.5,13727.5,13733.75,1646882400,1147,2022-03-09 21:20:00,2022-03-10,,,,9.0,11.458961043010694,5.429174920076858,3.75,4.3,-0.6500000000000004,,,15752611.25,13739.178800192161
2022-03-09 21:25:00,13733.5,13739.75,13718.25,13724.0,1646882700,1805,2022-03-09 21:25:00,2022-03-10,,,,21.5,13.284604489736022,6.169324934608339,-9.5,5.3,1.0,,13739.75,24771820.0,13738.821789241876
2022-03-09 21:30:00,13724.0,13727.5,13712.75,13718.75,1646883000,1737,2022-03-09 21:30:00,2022-03-10,,,,14.75,13.551040037056746,6.002174946497732,-5.25,5.45,0.15000000000000036,,,23829468.75,13738.377534117408
2022-03-09 21:35:00,13718.5,13719.25,13706.5,13715.5,1646883300,1757,2022-03-09 21:35:00,2022-03-10,,,,12.75,13.405396393955519,5.456324956225417,-3.0,5.1,-0.35000000000000053,,,24098133.5,13737.876564135799
2022-03-09 21:40:00,13715.5,13718.25,13707.75,13710.5,1646883600,1276,2022-03-09 21:40:00,2022-03-10,,,,10.5,12.877142504145425,5.37335678236625,-5.0,5.3,0.20000000000000018,,,17494598.0,13737.448007655315
2022-03-09 21:45:00,13710.25,13727.0,13704.75,13725.25,1646883900,2484,2022-03-09 21:45:00,2022-03-10,,,,22.25,14.58129841248262,7.12365554920875,15.0,7.55,2.25,13704.75,,34093521.0,13737.087277965617
2022-03-09 21:50:00,13725.75,13739.25,13725.25,13735.25,1646884200,2269,2022-03-09 21:50:00,2022-03-10,,,,14.0,14.475607792031235,7.555718176625341,9.5,7.55,0.0,,,31165282.25,13737.038952645917
2022-03-09 21:55:00,13734.75,13734.75,13729.25,13731.0,1646884500,977,2022-03-09 21:55:00,2022-03-10,,,,5.5,12.843679102571011,6.863769417238915,-3.75,7.25,-0.2999999999999998,,,13415187.0,13736.971324018248
2022-03-09 22:00:00,13731.25,13736.0,13730.0,13730.0,1646884800,1017,2022-03-09 22:00:00,2022-03-10,,,,6.0,11.599373811194464,5.843084068650022,-1.25,6.9,-0.34999999999999964,,,13963410.0,13736.89099411958
2022-03-09 22:05:00,13730.25,13735.25,13724.5,13724.75,1646885100,1129,2022-03-09 22:05:00,2022-03-10,,,,10.75,11.444942209159107,5.780705147077291,-5.5,7.0,0.09999999999999964,,,15495242.75,13736.737649348906
2022-03-09 22:10:00,13724.75,13727.5,13707.75,13714.75,1646885400,2241,2022-03-09 22:10:00,2022-03-10,,,,19.75,12.954952716584724,6.547849665790511,-10.0,6.0,-1.0,,,30734754.75,13736.199890318567
2022-03-09 22:15:00,13714.25,13720.75,13711.0,13712.75,1646885700,1369,2022-03-09 22:15:00,2022-03-10,,,,9.75,12.372234040842047,5.630058817464963,-1.5,4.4,-1.5999999999999996,,,18772754.75,13735.85469042345
2022-03-09 22:20:00,13713.75,13719.75,13712.5,13715.75,1646886000,850,2022-03-09 22:20:00,2022-03-10,,,,7.25,11.440918760688948,4.970048123380424,2.0,4.05,-0.35000000000000053,,,11658387.5,13735.67259824397
2022-03-09 22:25:00,13716.0,13723.0,13703.0,13704.75,1646886300,1913,2022-03-09 22:25:00,2022-03-10,,,,20.0,12.997115349654594,6.111857555493074,-11.25,6.05,2.0,,,26217186.75,13735.054863148882
2022-03-09 22:30:00,13704.0,13708.0,13693.75,13697.5,1646886600,2351,2022-03-09 22:30:00,2022-03-10,,,,14.25,13.224912558808304,6.182428909039788,-6.5,6.25,0.20000000000000018,,,32202822.5,13734.1549581091
2022-03-09 22:35:00,13697.25,13698.5,13680.25,13682.5,1646886900,2903,2022-03-09 22:35:00,2022-03-10,,,,18.25,14.138564820843158,7.7401691073961905,-14.75,7.2,0.9500000000000002,,,39720297.5,13732.670482106618
2022-03-09 22:40:00,13683.0,13684.75,13668.75,13673.5,1646887200,2458,2022-03-09 22:40:00,2022-03-10,,,,16.0,14.477007580689856,8.060138360596882,-9.5,8.8,1.6000000000000005,13668.75,,33609463.0,13731.264887941781
2022-03-09 22:45:00,13673.25,13682.25,13673.25,13676.75,1646887500,1054,2022-03-09 22:45:00,2022-03-10,,,,9.0,13.481188020564428,7.231022295033813,3.5,9.1,0.29999999999999893,,,14415294.5,13730.71518602849
2022-03-09 22:50:00,13676.75,13681.5,13675.25,13679.0,1646887800,850,2022-03-09 22:50:00,2022-03-10,,,,6.25,12.166426562279986,6.325381877754937,2.25,7.3,-1.7999999999999998,,,11627150.0,13730.298037047933
2022-03-09 22:55:00,13678.75,13684.25,13677.5,13683.0,1646888100,833,2022-03-09 22:55:00,2022-03-10,,,,6.75,11.181621732774534,5.94803971816313,4.25,6.85,-0.4500000000000002,,,11397939.0,13729.927080783355
2022-03-09 23:00:00,13683.75,13689.5,13681.0,13684.5,1646888400,1488,2022-03-09 23:00:00,2022-03-10,,,,8.5,10.694054144997347,5.002941587588015,0.75,4.05,-2.8,,,20362536.0,13729.299441493808
2022-03-09 23:05:00,13684.75,13686.5,13675.25,13676.5,1646888700,1173,2022-03-09 23:05:00,2022-03-10,,,,11.25,10.795135209543284,5.593315844390195,-8.25,3.8,-0.25,,,16042534.5,13728.730568746498
2022-03-09 23:10:00,13675.75,13680.0,13670.0,13671.5,1646889000,1092,2022-03-09 23:10:00,2022-03-10,,,,10.0,10.650565171444505,5.349076599955614,-4.25,3.95,0.15000000000000036,,,14929278.0,13728.16223411511
2022-03-09 23:15:00,13671.25,13682.0,13670.0,13680.75,1646889300,1502,2022-03-09 23:15:00,2022-03-10,,,,12.0,10.895916958454595,6.10378994541823,9.5,5.4,1.4500000000000002,,,20548486.5,13727.523350379042
2022-03-09 23:20:00,13680.75,13687.25,13675.75,13682.0,1646889600,1470,2022-03-09 23:20:00,2022-03-10,,,,11.5,11.005750238735578,5.221282682614915,1.25,4.8,-0.6000000000000005,,,20112540.0,13726.930803116837
2022-03-09 23:25:00,13681.25,13683.0,13677.25,13682.25,1646889900,1008,2022-03-09 23:25:00,2022-03-10,,,,5.75,10.0501592862382,4.4537767403212944,1.0,4.85,0.04999999999999982,,,13791708.0,13726.535533117436
2022-03-09 23:30:00,13683.0,13695.0,13682.0,13691.0,1646890200,2390,2022-03-09 23:30:00,2022-03-10,,,,13.0,10.586493961467617,5.098544605717422,8.0,4.8,-0.04999999999999982,,,32721490.0,13725.805474370987
2022-03-09 23:35:00,13691.25,13702.75,13691.0,13701.0,1646890500,1734,2022-03-09 23:35:00,2022-03-10,,,,11.75,10.79804051392805,5.944263768314254,9.75,5.9,1.1000000000000005,,,23757534.0,13725.441166879822
2022-03-09 23:40:00,13700.75,13704.0,13696.75,13697.75,1646890800,1421,2022-03-09 23:40:00,2022-03-10,,,,7.25,10.152942238668405,5.408943083166208,-3.0,4.6,-1.3000000000000007,,,19464502.75,13725.111852236209
2022-03-09 23:45:00,13698.0,13711.5,13697.0,13707.75,1646891100,2186,2022-03-09 23:45:00,2022-03-10,,,,14.5,10.943316377092332,6.19822615895417,9.75,6.3,1.7000000000000002,,,29965141.5,13724.799928497461
