date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,ema_120_trend,ema_120_trend_change,amplitude_hl,amplitude_hl_ema10,amplitude_oc_ema10,diff,diff_sma,diff_sma_trend,local_min,local_max,vwap
2022-03-04 13:00:00,13808.75,13847.0,13742.0,13748.75,1646420400,109766,2022-03-04 13:00:00,2022-03-04,14018.64880309602,-120.64043394426373,-12.97898862189193,105.0,113.17222667683697,48.8634105298251,-60.0,48.25,2.2749999999999986,,,
2022-03-04 14:00:00,13749.25,13851.0,13744.25,13834.0,1646424000,129444,2022-03-04 14:00:00,2022-03-04,14015.596756763855,-125.516939769831,-4.876505825567264,106.75,112.00454909923025,55.38824497894781,84.75,38.8625,-9.387500000000003,,,
2022-03-04 15:00:00,13834.0,13838.25,13795.5,13802.75,1646427600,17976,2022-03-04 15:00:00,2022-03-04,14012.078628552881,-132.221874872475,-6.704935102644015,42.75,99.4128128993702,50.99947316459366,-31.25,34.3125,-4.549999999999997,,,
2022-03-06 17:00:00,13778.5,13778.5,13563.5,13583.75,1646607600,41939,2022-03-06 17:00:00,2022-03-07,14004.998816510684,-155.34403020353176,-23.122155331056746,215.0,120.4286650994847,77.135932589213,-194.75,42.4,8.087499999999999,,,
2022-03-06 18:00:00,13583.25,13623.75,13547.25,13569.75,1646611200,35339,2022-03-06 18:00:00,2022-03-07,13997.804621196457,-177.16087748296582,-21.816847279434057,76.5,112.44163508139657,65.56576302753791,-13.5,42.5375,0.13750000000000284,,,
2022-03-06 19:00:00,13571.25,13593.0,13535.5,13552.0,1646614800,29282,2022-03-06 19:00:00,2022-03-07,13990.435949771723,-198.06288326606642,-20.902005783100606,57.5,102.45224688477902,57.1447152043492,-19.25,42.225,-0.3125,,,
2022-03-06 20:00:00,13551.5,13575.75,13527.0,13547.25,1646618400,20933,2022-03-06 20:00:00,2022-03-07,13983.11056217219,-217.08669757855637,-19.023814312489947,48.75,92.68820199663737,47.527494258103886,-4.25,40.775,-1.4500000000000028,13527.0,,
2022-03-06 21:00:00,13547.25,13611.25,13537.75,13591.5,1646622000,22909,2022-03-06 21:00:00,2022-03-07,13976.637660318105,-230.5307745977203,-13.444077019163927,73.5,89.19943799724876,46.931586211175905,44.25,42.575,1.8000000000000043,,,
2022-03-06 22:00:00,13592.0,13623.0,13589.75,13617.5,1646625600,13703,2022-03-06 22:00:00,2022-03-07,13970.701500643425,-240.34443268137667,-9.813658083656378,33.25,79.0268129068399,43.03493417278028,25.5,43.4125,0.8374999999999986,,,
2022-03-06 23:00:00,13617.0,13670.75,13592.5,13600.75,1646629200,27709,2022-03-06 23:00:00,2022-03-07,13964.586599806344,-250.22380605137403,-9.879373369997353,78.25,78.88557419650537,38.16494614136568,-16.25,43.55,0.13749999999999574,,,
2022-03-07 00:00:00,13600.75,13625.25,13573.75,13624.25,1646632800,19187,2022-03-07 00:00:00,2022-03-07,13958.961201462436,-256.982797684259,-6.7589916328849995,51.5,73.90637888804986,35.49859229748101,23.5,42.725,-0.8249999999999957,,,
2022-03-07 01:00:00,13624.0,13639.25,13545.0,13562.75,1646636400,30858,2022-03-07 01:00:00,2022-03-07,13952.412255983718,-267.5971543482157,-10.614356663956698,94.25,77.6052190902226,40.18066642521174,-61.25,45.65,2.924999999999997,,,
2022-03-07 02:00:00,13561.75,13629.0,13547.75,13601.5,1646640000,60523,2022-03-07 02:00:00,2022-03-07,13946.612053405475,-273.7983462727965,-6.201191924580769,81.25,78.26790652836395,40.102363438809604,39.75,47.1375,1.4875000000000043,,,
2022-03-07 03:00:00,13601.25,13652.0,13572.75,13605.75,1646643600,39279,2022-03-07 03:00:00,2022-03-07,13940.977969878111,-278.7127161612217,-4.914369888425199,79.25,78.44646897775232,33.62920644993513,4.5,46.9625,-0.17500000000000426,,,
2022-03-07 04:00:00,13606.25,13636.0,13589.5,13590.0,1646647200,23436,2022-03-07 04:00:00,2022-03-07,13935.176681119796,-284.0298333579076,-5.317117196685899,46.5,72.63802007270644,30.469350731765108,-16.25,46.8,-0.16250000000000142,,,
2022-03-07 05:00:00,13591.0,13656.5,13566.25,13654.25,1646650800,30654,2022-03-07 05:00:00,2022-03-07,13930.53326490294,-283.4101078815102,0.6197254763973774,90.25,75.84019824130527,36.42946878053509,63.25,49.375,2.575000000000003,,,
2022-03-07 06:00:00,13653.75,13775.5,13651.5,13711.25,1646654400,55487,2022-03-07 06:00:00,2022-03-07,13926.908748127686,-277.98999910120426,5.420108780305952,124.0,84.59652583379523,40.26047445680144,57.5,45.2,-4.174999999999997,,,
2022-03-07 07:00:00,13712.0,13798.75,13704.25,13786.75,1646658000,48188,2022-03-07 07:00:00,2022-03-07,13924.592074604914,-266.77816514150106,11.211833959703199,94.5,86.39715750037792,46.53129728283754,74.75,48.6625,3.4624999999999986,,,
2022-03-07 08:00:00,13787.5,13879.75,13673.5,13673.75,1646661600,196898,2022-03-07 08:00:00,2022-03-07,13920.445924611444,-265.1715858990965,1.606579242404564,206.25,108.18858340940011,58.752879595048896,-113.75,50.3625,1.6999999999999957,,13879.75,
2022-03-07 09:00:00,13673.5,13693.75,13540.0,13564.25,1646665200,206754,2022-03-07 09:00:00,2022-03-07,13914.558388667452,-271.98253012056495,-6.810944221468446,153.75,116.47247733496373,67.93417421413092,-109.25,52.875,2.512500000000003,,,
2022-03-07 10:00:00,13564.25,13643.5,13550.25,13557.25,1646668800,152026,2022-03-07 10:00:00,2022-03-07,13908.652464887824,-278.33612490194565,-6.353594781380707,93.25,112.25020872860668,56.8552334479253,-7.0,50.225,-2.6499999999999986,,,
2022-03-07 11:00:00,13557.5,13589.75,13495.75,13520.5,1646672400,139709,2022-03-07 11:00:00,2022-03-07,13902.236721666537,-286.60817264311294,-8.272047741167285,94.0,108.9319889597691,53.245191002847974,-37.0,47.8375,-2.387500000000003,,,
2022-03-07 12:00:00,13519.5,13563.5,13461.25,13477.5,1646676000,124595,2022-03-07 12:00:00,2022-03-07,13895.216279986098,-297.09682123055177,-10.488648587438831,102.25,107.71708187617472,51.200610820511976,-42.0,48.375,0.5375000000000014,,,
2022-03-07 13:00:00,13477.0,13523.5,13408.25,13420.25,1646679600,103987,2022-03-07 13:00:00,2022-03-07,13887.365597672278,-310.69832334588995,-13.601502115338178,115.25,109.08670335323386,52.20959067132798,-56.75,41.475,-6.899999999999999,,,
2022-03-07 14:00:00,13420.0,13433.75,13313.75,13320.75,1646683200,139929,2022-03-07 14:00:00,2022-03-07,13878.000050603316,-330.422461526484,-19.724138180594082,120.0,111.07093910719134,60.76239236745017,-99.25,45.7625,4.287500000000001,,,
2022-03-07 15:00:00,13320.5,13329.25,13265.0,13270.5,1646686800,31476,2022-03-07 15:00:00,2022-03-07,13867.958727452848,-351.78536280059313,-21.362901274109106,64.25,102.55804108770201,58.8055937551865,-50.0,47.3,1.5374999999999943,,,
2022-03-07 17:00:00,13282.5,13289.75,13252.5,13270.0,1646694000,13725,2022-03-07 17:00:00,2022-03-08,13858.075112123048,-370.68854274638954,-18.90317994579641,37.25,90.68385179902891,50.386394890607136,-12.5,47.7125,0.4125000000000014,,,
2022-03-07 18:00:00,13270.25,13313.0,13264.5,13290.75,1646697600,21280,2022-03-07 18:00:00,2022-03-08,13848.697837542502,-385.6692863300786,-14.980743583689048,48.5,83.01406056284183,44.95250491049675,20.5,46.525,-1.1875,,,
2022-03-07 19:00:00,13290.75,13380.0,13290.25,13349.25,1646701200,31391,2022-03-07 19:00:00,2022-03-08,13840.442501384776,-394.11114353445436,-8.441857204375765,89.75,84.23877682414332,47.41568583586098,58.5,48.175,1.6499999999999986,,,
2022-03-07 20:00:00,13349.5,13359.75,13304.25,13308.5,1646704800,18035,2022-03-07 20:00:00,2022-03-08,13831.650063345358,-404.4342571193267,-10.323113584872317,55.5,79.01354467429907,46.24919750206807,-41.0,49.4125,1.2375000000000043,,,
2022-03-07 21:00:00,13307.75,13320.25,13287.25,13306.5,1646708400,18119,2022-03-07 21:00:00,2022-03-08,13822.96989700907,-413.3971083105062,-8.962851191179539,33.0,70.64744564260833,38.06752522896478,-1.25,48.3,-1.1125000000000043,,,
