contract,time_completed,side,quantity,avg_price,realized_pnl,epoch_sec,profit,loss,wr,profit_long,loss_long,wr_long,profit_short,loss_short,wr_short,realized_pnl_sum,px_side,px_side_sum,px_side_diff_sma_ratio,total_profit,avg_pnl_profit,total_loss,avg_pnl_loss,avg_pnl_rr,avg_pnl_ewr,total_px_profit,avg_px_profit,total_px_loss,avg_px_loss,avg_px_rr,avg_px_ewr
"497954503,MYM,FUT,20220617,0,,0.5,ECBOT,,USD,MYM  JUN 22,MYM,False,,combo:",2022-04-14 09:33:17,BOT,3,34638.0,,1649946797.0,2,3,0.4,2,3,0.4,0,0,,,,,,52.66,26.33,-245.76,-81.92,0.3214111328125,0.7567667436489608,0.0,17.55333333333333,0.0,-54.61333333333334,0.32141113281249994,0.7567667436489608
"497954503,MYM,FUT,20220617,0,,0.5,ECBOT,,USD,MYM  JUN 22,MYM,False,,combo:",2022-04-14 09:38:39,SLD,3,34589.0,-76.92,1649947119.0,2,4,0.3333333333333333,2,4,0.3333333333333333,0,0,,-270.02,-51.28,-180.01333333333335,1.5104565537555228,52.66,26.33,-322.68,-80.67,0.32639147142680053,0.7539252336448597,0.0,17.55333333333333,-215.12,-53.78,0.3263914714268005,0.75392523364486
"497954503,MYM,FUT,20220617,0,,0.5,ECBOT,,USD,MYM  JUN 22,MYM,False,,combo:",2022-04-14 09:40:30,BOT,3,34595.0,,1649947230.0,2,4,0.3333333333333333,2,4,0.3333333333333333,0,0,,,,,,52.66,26.33,-322.68,-80.67,0.32639147142680053,0.7539252336448597,0.0,17.55333333333333,0.0,-53.78,0.3263914714268005,0.75392523364486
"497954503,MYM,FUT,20220617,0,,0.5,ECBOT,,USD,MYM  JUN 22,MYM,False,,combo:",2022-04-14 09:47:06,SLD,3,34612.0,22.08,1649947626.0,3,4,0.42857142857142855,3,4,0.42857142857142855,0,0,,-247.94,14.719999999999999,-165.29333333333335,0.43357879234167884,74.74,24.91333333333333,-322.68,-80.67,0.308830213627536,0.7640410418310971,49.82666666666666,16.608888888888888,0.0,-53.78,0.30883021362753604,0.7640410418310971
"497954503,MYM,FUT,20220617,0,,0.5,ECBOT,,USD,MYM  JUN 22,MYM,False,,combo:",2022-04-18 08:21:57,BOT,3,34340.0,,1650288117.0,3,4,0.42857142857142855,3,4,0.42857142857142855,0,0,,,,,,74.74,24.91333333333333,-322.68,-80.67,0.308830213627536,0.7640410418310971,0.0,16.608888888888888,0.0,-53.78,0.30883021362753604,0.7640410418310971
"497954503,MYM,FUT,20220617,0,,0.5,ECBOT,,USD,MYM  JUN 22,MYM,False,,combo:",2022-04-18 08:30:07,SLD,3,34312.0,-45.92,1650288607.0,3,5,0.375,3,5,0.375,0,0,,-293.86,-30.613333333333333,-195.9066666666667,0.7013363879343261,74.74,24.91333333333333,-368.6,-73.72,0.33794537891119547,0.7474146671172693,0.0,16.608888888888888,-245.73333333333335,-49.14666666666667,0.33794537891119547,0.7474146671172693
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-17 17:24:32.000,SLD,1,13796.0,,1650234272.0,14,7,0.6666666666666666,8,3,0.7272727272727273,6,4,0.6,,,,,1391.0600000000004,99.3614285714286,-798.3999999999999,-114.05714285714284,0.871154809619239,0.5344293239977775,0.0,38.555,0.0,-23.387619047619044,1.648521806409578,0.3775691019722554
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 00:51:38.000,BOT,1,13786.25,18.36,1650261098.0,15,7,0.6818181818181818,8,3,0.7272727272727273,7,4,0.6363636363636364,611.0200000000001,9.18,385.23666666666674,1.953191489361702,1409.4200000000003,93.96133333333336,-798.3999999999999,-114.05714285714284,0.8238092852371414,0.5483029437861288,548.9499999999999,36.596666666666664,0.0,-23.387619047619044,1.5647880441422,0.3898957663515047
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 03:02:32.000,SLD,1,13816.25,,1650268952.0,15,7,0.6818181818181818,8,3,0.7272727272727273,7,4,0.6363636363636364,,,,,1409.4200000000003,93.96133333333336,-798.3999999999999,-114.05714285714284,0.8238092852371414,0.5483029437861288,0.0,36.596666666666664,0.0,-23.387619047619044,1.5647880441422,0.3898957663515047
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 06:16:25.000,BOT,3,13863.0,-94.64,1650280585.0,15,8,0.6521739130434783,8,3,0.7272727272727273,7,5,0.5833333333333334,516.3800000000001,-15.773333333333333,369.4633333333334,1.5239935587761675,1409.4200000000003,93.96133333333336,-893.0399999999998,-111.62999999999998,0.841721162172654,0.5429703586727066,0.0,36.596666666666664,-179.48666666666665,-22.43583333333333,1.6311703747724995,0.38005900704414236
